Date,ASTRAL.NS,DEEPAKNTR.NS,LTTS.NS,PERSISTENT.NS,TATAELXSI.NS,NIFTY50
2022-07-11,1275.6239013671875,1808.3365478515625,2997.448486328125,1605.2841796875,7817.90283203125,16216.0
2022-07-12,1278.4132080078125,1785.2197265625,2967.921630859375,1627.81787109375,7732.39794921875,16058.2998046875
2022-07-13,1318.9517822265625,1790.148681640625,2983.839111328125,1622.12353515625,7492.7880859375,15966.650390625
2022-07-14,1312.3316650390625,1748.1048583984375,2933.92333984375,1550.5634765625,7578.439453125,15938.650390625
2022-07-15,1329.6256103515625,1726.2694091796875,2974.510009765625,1535.728515625,7832.0888671875,16049.2001953125
2022-07-18,1320.8856201171875,1729.67041015625,3054.769775390625,1588.93408203125,7874.306640625,16278.5
2022-07-19,1323.526123046875,1744.4571533203125,3067.1279296875,1626.74267578125,7850.35595703125,16340.5498046875
2022-07-20,1311.25341796875,1732.4305419921875,3276.12060546875,1717.903564453125,7883.78076171875,16520.849609375
2022-07-21,1305.1165771484375,1839.6356201171875,3285.930908203125,1741.5855712890625,7963.9423828125,16605.25
2022-07-22,1303.703369140625,1790.099365234375,3291.4130859375,1775.6790771484375,8148.55615234375,16719.44921875
2022-07-25,1308.9473876953125,1830.6236572265625,3308.8212890625,1762.872802734375,8287.599609375,16631.0
2022-07-26,1301.6951904296875,1800.3912353515625,3129.162353515625,1629.6263427734375,8124.26416015625,16483.849609375
2022-07-27,1334.2745361328125,1816.769287109375,3168.21044921875,1653.7730712890625,8240.9599609375,16641.80078125
2022-07-28,1332.71240234375,1882.8255615234375,3269.532470703125,1720.7137451171875,8317.3310546875,16929.599609375
2022-07-29,1350.415283203125,1899.450927734375,3376.817626953125,1775.72802734375,8443.693359375,17158.25
2022-08-01,1403.004150390625,1953.6812744140625,3389.4169921875,1786.652587890625,8473.3779296875,17340.05078125
2022-08-02,1406.2769775390625,1933.6912841796875,3348.445556640625,1771.18212890625,8396.763671875,17345.44921875
2022-08-03,1401.813720703125,1944.0821533203125,3341.857177734375,1819.2310791015625,8589.6845703125,17388.150390625
2022-08-04,1460.278564453125,1991.53369140625,3391.62890625,1842.3511962890625,8702.78515625,17382.0
2022-08-05,1483.337158203125,2004.0523681640625,3426.82958984375,1853.739990234375,9044.708984375,17397.5
2022-08-08,1467.38232421875,1988.911376953125,3452.55712890625,1839.6138916015625,9284.318359375,17525.099609375
2022-08-10,1445.4022216796875,1997.2735595703125,3449.142578125,1780.884765625,9193.275390625,17534.75
2022-08-11,1471.919677734375,2001.3309326171875,3499.299072265625,1823.850341796875,9229.37109375,17659.0
